WKT,nombre,descripción,
POINT (-77.0501313 38.8921577),Nodo 1,[Constitution Ave. NW, 23rd St NW]
POINT (-77.0488599 38.8921076),Nodo 2,,
POINT (-77.0480463 38.8920871),Nodo 3,,
POINT (-77.0466926 38.8921269),Nodo 4,,
POINT (-77.0449599 38.8921101),Nodo 5,,
POINT (-77.0434929 38.892113),Nodo 6,,
POINT (-77.0417252 38.8921059),Nodo 7,,
POINT (-77.0406955 38.8921024),Nodo 8,,
POINT (-77.0394761 38.8921094),Nodo 9,,
POINT (-77.0365573 38.8920949),Nodo 10,,
POINT (-77.0336554 38.8920805),Nodo 11,,
POINT (-77.0319674 38.892093),Nodo 12,,
POINT (-77.0281449 38.8920829),Nodo 13,,
POINT (-77.0259669 38.8920871),Nodo 14,,
POINT (-77.0239875 38.8920746),Nodo 15,,
POINT (-77.0199123 38.8921138),Nodo 16,,
POINT (-77.0501427 38.8934657),Nodo 17,,
POINT (-77.0488603 38.893544),Nodo 18,,
POINT (-77.0467438 38.8935403),Nodo 19,,
POINT (-77.0449289 38.8935182),Nodo 20,,
POINT (-77.0440663 38.8938163),Nodo 21,,
POINT (-77.0434268 38.8935219),Nodo 22,,
POINT (-77.0417638 38.8926389),Nodo 23,,
POINT (-77.0417424 38.8935449),Nodo 24,,
POINT (-77.0395108 38.8935532),Nodo 25,,
POINT (-77.0501465 38.8953311),Nodo 26,,
POINT (-77.0496834 38.8958074),Nodo 27,,
POINT (-77.0501136 38.8959994),Nodo 28,,
POINT (-77.0482038 38.8960328),Nodo 29,,
POINT (-77.0467106 38.8953105),Nodo 30,,
POINT (-77.0451821 38.8945381),Nodo 31,,
POINT (-77.046679 38.8960182),Nodo 32,,
POINT (-77.0449302 38.8954003),Nodo 33,,
POINT (-77.0435569 38.895442),Nodo 34,,
POINT (-77.0449202 38.895932),Nodo 35,,
POINT (-77.0434845 38.8959785),Nodo 36,,
POINT (-77.0417196 38.8960161),Nodo 37,,
POINT (-77.0395812 38.896627),Nodo 38,,
POINT (-77.0417974 38.8954504),Nodo 39,,
POINT (-77.0417115 38.8943314),Nodo 40,,
POINT (-77.0395121 38.8943565),Nodo 41,,
POINT (-77.039555 38.8954003),Nodo 42,,
POINT (-77.0336113 38.8954914),Nodo 43,,
POINT (-77.0319805 38.8955248),Nodo 44,,
POINT (-77.0319887 38.8946289),Nodo 45,,
POINT (-77.0307066 38.8946497),Nodo 46,,
POINT (-77.0307709 38.8954472),Nodo 47,,
POINT (-77.0296712 38.8955098),Nodo 48,,
POINT (-77.0281263 38.8950422),Nodo 49,,
POINT (-77.0270749 38.8947666),Nodo 50,,
POINT (-77.02704 38.8940632),Nodo 51,,
POINT (-77.0260315 38.8945031),Nodo 52,,
POINT (-77.0239823 38.8939353),Nodo 53,,
POINT (-77.0219116 38.8933341),Nodo 54,,
POINT (-77.0199482 38.892808),Nodo 55,,
POINT (-77.0479508 38.9006757),Nodo 56,,
POINT (-77.0478516 38.9007153),Nodo 57,,
POINT (-77.046658 38.9000975),Nodo 58,,
POINT (-77.0501065 38.8971031),Nodo 59,,
POINT (-77.0500742 38.897362),Nodo 60,,
POINT (-77.0497278 38.8973899),Nodo 61,,
POINT (-77.0488642 38.8973648),Nodo 62,,
POINT (-77.0488605 38.8966038),Nodo 63,,
